#Name	[Fe/H]	Dist	Distupperr Distlowerr	Av	Avuperr	Avlowerr	Y	Yuperr	Ylowerr	log(Age) log(Age)uperr log(Age)lowerr	Age(Gyr)	Age(Gyr)uperr	Age(Gyr)lowerr	RelativeAge
 NGC6144 	   -1.760 	   15.863   +0.008   -0.006    	   1.496   +0.003   -0.004    	   0.392   +0.005   -0.008    	   10.130   +0.000   -0.000    	   13.494   +0.005   -0.008    	   -0.006 
 NGC6171 	   -1.020 	   15.013   +0.016   -0.012    	   1.373   +0.003   -0.003    	   0.297   +0.006   -0.008    	   10.130   +0.001   -0.002    	   13.477   +0.021   -0.066    	   0.727 
 NGC6205 	   -1.530 	   14.442   +0.006   -0.005    	   0.120   +0.005   -0.006    	   0.357   +0.006   -0.005    	   10.117   +0.003   -0.003    	   13.094   +0.084   -0.082    	   0.094 
 NGC6218 	   -1.370 	   14.178   +0.002   -0.002    	   0.682   +0.001   -0.001    	   0.330   +0.001   -0.000    	   10.130   +0.000   -0.000    	   13.496   +0.004   -0.013    	   0.246 
 NGC6254 	   -1.560 	   14.435   +0.008   -0.008    	   0.903   +0.011   -0.010    	   0.371   +0.009   -0.008    	   10.109   +0.006   -0.005    	   12.846   +0.164   -0.158    	   -0.154 
 NGC6304 	   -0.450 	   15.465   +0.015   -0.017    	   1.547   +0.007   -0.008    	   0.311   +0.009   -0.006    	   10.112   +0.007   -0.006    	   12.950   +0.199   -0.186    	   0.200 
 NGC6341 	   -2.310 	   14.724   +0.004   -0.004    	   0.109   +0.002   -0.002    	   0.347   +0.004   -0.004    	   10.130   +0.000   -0.000    	   13.498   +0.002   -0.007    	   0.248 
 NGC6352 	   -0.640 	   14.478   +0.009   -0.009    	   0.793   +0.003   -0.004    	   0.245   +0.005   -0.006    	   10.130   +0.000   -0.001    	   13.491   +0.008   -0.025    	   0.491 
 NGC6362 	   -0.990 	   14.666   +0.006   -0.007    	   0.248   +0.001   -0.002    	   0.272   +0.003   -0.003    	   10.130   +0.000   -0.001    	   13.495   +0.005   -0.018    	   0.995 
 NGC6366 	   -0.590 	   14.813   +0.026   -0.017    	   2.284   +0.011   -0.010    	   0.315   +0.012   -0.008    	   10.110   +0.008   -0.008    	   12.879   +0.247   -0.253    	   0.879 
 NGC6388 	   -0.550   +0.000   -0.000    	   16.451   +0.009   -0.010    	   1.205   +0.010   -0.009    	   0.370   +0.008   -0.007    	   10.051   +0.006   -0.006    	   11.240   +0.144   -0.151    	   --- 
 NGC6397 	   -2.020 	   12.540   +0.007   -0.007    	   0.635   +0.003   -0.003    	   0.372   +0.006   -0.006    	   10.130   +0.000   -0.000    	   13.496   +0.004   -0.013    	   -0.004 
 NGC6426 	   -2.150 	   17.726   +0.011   -0.011    	   1.309   +0.005   -0.005    	   0.343   +0.009   -0.008    	   10.130   +0.000   -0.001    	   13.494   +0.006   -0.021    	   0.494 
 NGC6441 	   -0.460   +0.000   -0.000    	   17.119   +0.017   -0.022    	   1.541   +0.007   -0.008    	   0.331   +0.005   -0.002    	   10.050   +0.009   -0.007    	   11.210   +0.240   -0.178    	   --- 
 NGC6496 	   -0.460 	   15.581   +0.006   -0.005    	   0.674   +0.003   -0.003    	   0.264   +0.003   -0.004    	   10.130   +0.001   -0.002    	   13.476   +0.022   -0.069    	   1.476 
 NGC6535 	   -1.790 	   15.297   +0.012   -0.011    	   1.400   +0.006   -0.006    	   0.337   +0.011   -0.009    	   10.130   +0.000   -0.001    	   13.490   +0.009   -0.033    	   0.240 
 NGC6541 	   -1.810 	   14.789   +0.005   -0.005    	   0.437   +0.003   -0.003    	   0.352   +0.005   -0.005    	   10.130   +0.000   -0.000    	   13.498   +0.002   -0.006    	   0.248 
 NGC6584 	   -1.500 	   15.930   +0.007   -0.008    	   0.330   +0.004   -0.005    	   0.328   +0.002   -0.005    	   10.103   +0.003   -0.003    	   12.665   +0.090   -0.087    	   0.415 
 NGC6624 	   -0.440 	   15.340   +0.006   -0.006    	   0.799   +0.005   -0.005    	   0.303   +0.004   -0.003    	   10.101   +0.003   -0.003    	   12.608   +0.101   -0.086    	   -0.392 
 NGC6637 	   -0.640 	   15.244   +0.005   -0.005    	   0.508   +0.003   -0.003    	   0.279   +0.003   -0.003    	   10.130   +0.000   -0.001    	   13.488   +0.011   -0.035    	   0.988 
 NGC6652 	   -1.100 	   15.454   +0.004   -0.008    	   0.484   +0.003   -0.001    	   0.235   +0.005   -0.003    	   10.130   +0.000   -0.001    	   13.497   +0.003   -0.018    	   0.247 
 NGC6656 	   -1.700   +0.000   -0.000    	   13.734   +0.004   -0.009    	   1.171   +0.014   -0.001    	   0.330   +0.019   -0.001    	   10.130   +0.000   -0.000    	   13.497   +0.003   -0.009    	   --- 
 NGC6681 	   -1.620 	   15.182   +0.004   -0.004    	   0.376   +0.002   -0.002    	   0.329   +0.001   -0.002    	   10.130   +0.000   -0.000    	   13.495   +0.004   -0.010    	   0.495 
 NGC6715 	   -1.490   +0.000   -0.000    	   17.521   +0.015   -0.017    	   0.505   +0.006   -0.006    	   0.328   +0.003   -0.005    	   10.105   +0.007   -0.007    	   12.746   +0.194   -0.199    	   --- 
 NGC6717 	   -1.260 	   15.032   +0.010   -0.009    	   0.725   +0.005   -0.006    	   0.330   +0.002   -0.010    	   10.128   +0.002   -0.004    	   13.426   +0.070   -0.139    	   0.426 
 NGC6723 	   -1.100 	   14.841   +0.005   -0.005    	   0.286   +0.002   -0.002    	   0.275   +0.003   -0.003    	   10.130   +0.000   -0.001    	   13.493   +0.007   -0.026    	   0.743 
 NGC6752 	   -1.540 	   13.277   +0.009   -0.010    	   0.243   +0.008   -0.009    	   0.357   +0.006   -0.006    	   10.121   +0.006   -0.005    	   13.202   +0.174   -0.152    	   0.702 
 NGC6779 	   -1.980 	   15.834   +0.006   -0.006    	   0.829   +0.003   -0.003    	   0.370   +0.005   -0.006    	   10.130   +0.000   -0.000    	   13.497   +0.003   -0.010    	   -0.003 
 NGC6809 	   -1.940 	   13.965   +0.005   -0.006    	   0.436   +0.003   -0.002    	   0.370   +0.005   -0.004    	   10.130   +0.000   -0.000    	   13.498   +0.002   -0.007    	   -0.002 
