R              e_R            sigma           e_sigma          Ratio          e_Ratio
[arcsec]       [arcsec]       [mas/yr]        [mas/yr]
3.1179652      1.11045704266  0.614037151859  0.0648218014154  0.907198978171 0.189294629928
6.07337779412  0.791750334857 0.4839241924    0.0321600960157  0.950343128196 0.12095473972
7.96029735294  0.405575475048 0.483359120597  0.02950152354    0.902562864837 0.105603130083
9.26972478261  0.4072475493   0.529892545714  0.0333123126722  0.974618679928 0.111321687708
12.070626456    1.15945292866  0.528548394087  0.0118244269788  0.950936561244 0.051886570403
15.8952704132   1.01196336665  0.474439907008  0.012265298575   0.995920637038 0.0557247683295
18.7432584615   0.700127212357 0.495158945093  0.0143952698212  0.953991149603 0.0481687016727
22.1404138583   1.19414128123  0.472665077011  0.0082026807637  1.02731674708  0.0386710341783
25.8796045669   1.00103103035  0.473603158376  0.00899755804701 1.06116492788  0.0382218202642
29.0854626247   0.836322465941 0.458618138989  0.00876078618427 1.05813686975  0.0392138789738
31.9572638189   0.808796345518 0.454894549225  0.00709872521062 0.962168593864 0.0353983036051
34.8293924179   0.807907805288 0.456051337572  0.00818203996068 0.981777634643 0.0356861073357
37.553179357    0.77980068756  0.466310812638  0.00869253058815 0.935094495517 0.0322885147297
40.4402804856   0.879224109783 0.435170365882  0.00800024695    0.927644467709 0.0346440176025
43.7365427953   0.990675765476 0.434409633282  0.00743161142665 0.914682036545 0.0359908627969
47.0719267848   0.974634902653 0.437776084924  0.00842963022931 1.0057777498   0.0386841177199
50.5826072011   1.06395048543  0.438896245641  0.00784529117979 1.00027318381  0.0342906574181
54.3164056955   1.05319662497  0.406797164002  0.00785391151446 0.981599451607 0.0355663473637
58.2038439633   1.17774692578  0.424922940963  0.00821376497479 1.03130682794  0.0375993901852
62.4800601969   1.28332776549  0.401994995647  0.0076567183267  0.98295470899  0.038418959567
66.9240432283   1.30004483649  0.393553235381  0.00748397287837 0.979910632537 0.0334653611063
71.5834997635   1.35492416689  0.407493391694  0.00748359524886 0.983966779043 0.035759952029
76.3630785171   1.47665832932  0.412006078197  0.00822424915045 1.01222295921  0.0342726624395
82.3019626509   1.96210425816  0.386203383075  0.00632468536949 0.960841326578 0.0365109395024
91.5833619816   3.30893681108  0.371934742438  0.00660326075902 1.01313917494  0.0395749617789
103.558786614    3.7878217519   0.366908065382  0.00722356019819 0.929288530548 0.0315921674212
119.379011759    6.93254842487  0.349859534615  0.00665974754546 0.995333675106 0.0391002517985
