# The final column indicates the type of data (RV/K18 are radial velocity dispersions - W15/GDR2 are proper motion dispersions). The proper motions from Watkins et al. and our Gaia proper motions were converted to km/sec using the cluster distances given in Baumgardt, Sollima, Hilker & Bellini (2019). If you use these profiles for your research, please give reference to these papers.

Cluster <r> NStar   σ   ΔσUp    ΔσLow   Type
Name    ['']  [km/sec]  [km/sec]    [km/sec]

NGC 288        50.48  2.50  0.22  0.22  W15
NGC 288        53.81  2.31  0.18  0.18  W15
NGC 288        56.87  2.48  0.21  0.21  W15
NGC 288        59.81  2.77  0.24  0.24  W15
NGC 288        63.19  2.75  0.20  0.20  W15
NGC 288        66.45  2.84  0.18  0.18  W15
NGC 288        67.96  3.47  0.40  0.35  GDR2
NGC 288        69.03  2.57  0.19  0.19  W15
NGC 288        72.08  2.42  0.19  0.19  W15
NGC 288        74.82  2.90  0.20  0.20  W15
NGC 288        78.41  3.10  0.21  0.21  W15
NGC 288        82.20  2.81  0.23  0.23  W15
NGC 288        87.72  3.12  0.24  0.24  W15
NGC 288        90.17  2.89  0.25  0.22   RV
NGC 288        99.57  2.92  0.19  0.19  W15
NGC 288       127.74  2.54  0.22  0.20   RV
NGC 288       177.07  2.47  0.33  0.28  GDR2
NGC 288       178.02  2.85  0.25  0.22   RV
NGC 288       233.61  2.29  0.22  0.19   RV
NGC 288       327.69  1.97  0.19  0.17   RV
NGC 288       370.49  2.24  0.39  0.33  GDR2
NGC 288       591.90  1.44  0.24  0.21   RV
NGC 362         3.44  8.15  0.78  0.78  W15
NGC 362         3.80  7.66  0.69  0.58  K18
NGC 362         6.65  8.81  0.78  0.78  W15
NGC 362         7.80  9.03  0.66  0.64  K18
NGC 362         8.37  7.81  0.62  0.62  W15
NGC 362         9.33  7.87  0.70  0.70  W15
NGC 362        12.60  9.34  0.48  0.43  K18
NGC 362        12.89  7.92  0.23  0.23  W15
NGC 362        12.96  7.47  0.70  0.60   RV
NGC 362        16.49  8.00  0.26  0.26  W15
NGC 362        18.91  8.66  0.28  0.28  W15
NGC 362        20.00  8.39  0.30  0.29  K18
NGC 362        21.84  8.20  0.19  0.19  W15
NGC 362        25.03  8.18  0.19  0.19  W15
NGC 362        28.01  8.60  0.21  0.21  W15
NGC 362        31.05  7.63  0.16  0.16  W15
NGC 362        31.60  7.77  0.21  0.21  K18
NGC 362        33.89  7.97  0.19  0.19  W15
NGC 362        34.24  6.79  0.62  0.55   RV
NGC 362        36.73  7.83  0.18  0.18  W15
NGC 362        39.77  7.67  0.16  0.16  W15
NGC 362        42.95  7.79  0.20  0.20  W15
NGC 362        46.19  7.64  0.17  0.17  W15
NGC 362        49.83  7.25  0.16  0.16  W15
NGC 362        53.38  7.62  0.17  0.17  W15
NGC 362        57.03  6.91  0.17  0.17  W15
NGC 362        60.87  7.07  0.16  0.16  W15
NGC 362        64.64  6.80  0.17  0.17  W15
NGC 362        68.50  6.79  0.62  0.55   RV
NGC 362        68.54  6.77  0.15  0.15  W15
NGC 362        72.85  6.67  0.16  0.16  W15
NGC 362        77.46  6.83  0.16  0.16  W15
NGC 362        77.56  7.52  0.55  0.50  GDR2
NGC 362        83.05  6.26  0.17  0.17  W15
NGC 362        90.09  6.76  0.15  0.15  W15
NGC 362       102.69  6.30  0.58  0.51   RV
NGC 362       131.89  6.37  0.49  0.44  GDR2
NGC 362       146.17  5.16  0.48  0.42   RV
NGC 362       219.76  3.51  0.34  0.29   RV
NGC 362       221.84  4.84  0.39  0.36  GDR2
NGC 362       363.64  3.60  0.43  0.39  GDR2
NGC 362       369.75  3.46  0.32  0.28   RV
NGC 1261       15.45  4.31  0.52  0.45   RV
NGC 1261       48.55  3.96  0.45  0.38   RV
NGC 1261       79.38  3.72  0.43  0.36   RV
NGC 1261       90.20  5.44  0.84  0.69  GDR2
NGC 1261      118.07  3.43  0.39  0.33   RV
NGC 1261      180.02  2.77  0.32  0.27   RV
NGC 1261      316.57  2.59  0.40  0.33   RV
NGC 1851        4.00  9.09  0.81  0.70  K18
NGC 1851        7.20 10.39  0.71  0.65  K18
NGC 1851        7.89  8.44  0.93  0.93  W15
NGC 1851       10.60  8.27  0.67  0.60   RV
NGC 1851       11.80  9.54  0.46  0.42  K18
NGC 1851       12.96 10.01  0.36  0.36  W15
NGC 1851       16.52  9.01  0.36  0.36  W15
NGC 1851       17.94  8.88  0.72  0.63   RV
NGC 1851       18.50  8.60  0.26  0.26  K18
NGC 1851       18.97  9.98  0.41  0.41  W15
NGC 1851       21.90  9.14  0.27  0.27  W15
NGC 1851       22.51  8.26  0.67  0.59   RV
NGC 1851       25.08  8.30  0.27  0.27  W15
NGC 1851       27.98  9.50  0.77  0.68   RV
NGC 1851       28.29  8.45  0.27  0.27  W15
NGC 1851       29.40  8.24  0.17  0.18  K18
NGC 1851       31.28  8.79  0.28  0.28  W15
NGC 1851       32.86  8.17  0.65  0.58   RV
NGC 1851       33.94  8.53  0.24  0.24  W15
NGC 1851       36.45  7.74  0.25  0.25  W15
NGC 1851       39.03  8.02  0.65  0.57   RV
NGC 1851       39.12  8.02  0.26  0.26  W15
NGC 1851       41.58  7.29  0.24  0.24  W15
NGC 1851       44.18  7.21  0.23  0.23  W15
NGC 1851       46.26  6.24  0.51  0.45   RV
NGC 1851       46.73  7.59  0.23  0.23  W15
NGC 1851       49.32  7.47  0.20  0.20  W15
NGC 1851       51.93  7.27  0.21  0.21  W15
NGC 1851       54.83  6.87  0.22  0.22  W15
NGC 1851       55.75  7.05  0.58  0.51   RV
NGC 1851       57.70  6.63  0.21  0.21  W15
NGC 1851       60.98  6.65  0.19  0.19  W15
NGC 1851       64.67  6.42  0.18  0.18  W15
NGC 1851       68.47  6.04  0.19  0.19  W15
NGC 1851       72.62  5.73  0.18  0.18  W15
NGC 1851       73.55  6.95  0.68  0.61  GDR2
NGC 1851       76.22  5.26  0.43  0.38   RV
NGC 1851       78.09  5.80  0.17  0.17  W15
NGC 1851       88.78  5.56  0.17  0.17  W15
NGC 1851      108.19  5.56  0.46  0.40   RV
NGC 1851      120.52  5.98  0.63  0.56  GDR2
NGC 1851      148.95  4.77  0.40  0.35   RV
NGC 1851      184.87  4.63  0.59  0.53  GDR2
NGC 1851      199.14  4.36  0.36  0.32   RV
NGC 1851      272.05  3.64  0.31  0.28   RV
NGC 1851      335.04  2.80  0.54  0.51  GDR2
NGC 1851      389.48  3.46  0.31  0.27   RV
NGC 1851      802.81  2.81  0.35  0.30   RV
NGC 1904       14.25  7.36  0.67  0.58   RV
NGC 1904       27.10  5.97  0.54  0.47   RV
NGC 1904       36.65  5.25  0.48  0.42   RV
NGC 1904       47.66  4.04  0.38  0.33   RV
NGC 1904       92.59  3.89  0.36  0.32   RV
NGC 1904      149.21  3.12  0.30  0.26   RV
NGC 1904      222.11  2.78  0.27  0.24   RV
NGC 1904      394.50  2.60  0.38  0.32   RV
NGC 2298       23.81  3.67  0.71  0.55   RV
NGC 2298       36.12  3.10  0.64  0.52  GDR2
NGC 2298      101.86  3.50  0.73  0.57   RV
NGC 2298      101.86  1.23  0.74  0.85  GDR2
NGC 2419       27.54  6.66  0.81  0.68   RV
NGC 2419       71.59  2.78  0.43  0.36   RV
NGC 2419      123.05  2.54  0.38  0.32   RV
NGC 2419      224.08  1.84  0.26  0.23   RV
NGC 2808        4.76 14.64  1.32  1.32  W15
NGC 2808        4.80 13.94  1.12  1.00  K18
NGC 2808        8.94 13.36  0.71  0.65   RV
NGC 2808        9.60 13.60  0.92  0.89  K18
NGC 2808       12.79 14.76  0.55  0.55  W15
NGC 2808       15.20 13.33  0.56  0.53  K18
NGC 2808       16.70 13.98  0.50  0.50  W15
NGC 2808       19.03 13.69  0.73  0.68   RV
NGC 2808       19.17 13.48  0.52  0.52  W15
NGC 2808       23.75 14.03  0.24  0.24  W15
NGC 2808       23.80 13.43  0.35  0.35  K18
NGC 2808       27.41 14.26  0.76  0.70   RV
NGC 2808       29.80 13.41  0.26  0.26  W15
NGC 2808       34.71 13.53  0.29  0.29  W15
NGC 2808       34.94 12.94  0.70  0.63   RV
NGC 2808       37.80 12.50  0.24  0.22  K18
NGC 2808       38.99 13.34  0.24  0.24  W15
NGC 2808       42.14 11.54  0.77  0.69   RV
NGC 2808       42.61 12.40  0.20  0.20  W15
NGC 2808       45.92 12.43  0.19  0.19  W15
NGC 2808       48.97 10.93  0.72  0.65   RV
NGC 2808       49.15 12.17  0.21  0.21  W15
NGC 2808       52.38 12.11  0.23  0.23  W15
NGC 2808       54.00 11.33  0.22  0.22  K18
NGC 2808       55.39 12.11  0.22  0.22  W15
NGC 2808       56.98 11.15  0.74  0.67   RV
NGC 2808       58.46 12.04  0.20  0.20  W15
NGC 2808       61.76 11.63  0.21  0.21  W15
NGC 2808       64.80 11.81  0.23  0.23  W15
NGC 2808       67.67 11.04  0.18  0.18  W15
NGC 2808       70.27 10.42  0.70  0.62   RV
NGC 2808       70.79 11.12  0.20  0.20  W15
NGC 2808       74.06 10.93  0.20  0.20  W15
NGC 2808       77.68 10.44  0.20  0.20  W15
NGC 2808       81.60 10.59  0.20  0.20  W15
NGC 2808       85.99 10.58  0.18  0.18  W15
NGC 2808       91.92  9.88  0.18  0.18  W15
NGC 2808       94.26  9.19  0.61  0.55   RV
NGC 2808       95.37  9.81  0.52  0.48  GDR2
NGC 2808      102.49  9.78  0.17  0.17  W15
NGC 2808      123.99  9.13  0.60  0.54   RV
NGC 2808      141.64  8.79  0.50  0.46  GDR2
NGC 2808      157.96  7.25  0.49  0.43   RV
NGC 2808      179.99  8.01  0.47  0.44  GDR2
NGC 2808      195.97  7.18  0.48  0.43   RV
NGC 2808      227.95  7.64  0.46  0.43  GDR2
NGC 2808      249.61  7.92  0.53  0.47   RV
NGC 2808      290.52  6.64  0.45  0.42  GDR2
NGC 2808      331.75  7.12  0.47  0.43   RV
NGC 2808      406.98  5.13  0.39  0.37  GDR2
NGC 2808      525.61  5.23  0.66  0.55   RV
NGC 2808      572.78  4.42  0.78  0.69  GDR2
NGC 3201       11.83  4.39  0.21  0.19   RV
NGC 3201       22.19  4.17  0.20  0.18   RV
NGC 3201       29.11  4.00  0.20  0.19   RV
NGC 3201       35.31  4.12  0.20  0.19   RV
NGC 3201       41.35  4.15  0.20  0.19   RV
NGC 3201       46.42  4.09  0.20  0.18   RV
NGC 3201       51.28  4.18  0.21  0.19   RV
NGC 3201       57.75  4.33  0.25  0.24  GDR2
NGC 3201       58.92  4.33  0.21  0.20   RV
NGC 3201       75.73  3.64  0.30  0.27   RV
NGC 3201      101.07  4.09  0.25  0.23  GDR2
NGC 3201      117.36  3.85  0.30  0.27   RV
NGC 3201      131.38  3.69  0.25  0.23  GDR2
NGC 3201      157.37  3.77  0.25  0.24  GDR2
NGC 3201      171.94  4.24  0.33  0.30   RV
NGC 3201      188.06  3.80  0.26  0.24  GDR2
NGC 3201      220.80  2.99  0.23  0.22  GDR2
NGC 3201      249.84  3.94  0.31  0.27   RV
NGC 3201      257.12  3.57  0.26  0.25  GDR2
NGC 3201      291.08  3.17  0.23  0.22  GDR2
NGC 3201      335.01  3.01  0.25  0.24  GDR2
NGC 3201      379.43  3.23  0.25  0.23   RV
NGC 3201      384.09  3.12  0.25  0.23  GDR2
NGC 3201      460.78  2.75  0.22  0.20  GDR2
NGC 3201      788.73  2.71  0.22  0.19   RV
NGC 4147       41.05  2.00  0.35  0.27   RV
NGC 4147      174.98  1.37  0.29  0.23   RV
NGC 4372       72.97  4.32  0.25  0.23  GDR2
NGC 4372       81.37  4.56  0.54  0.45   RV
NGC 4372      135.30  4.24  0.26  0.24  GDR2
NGC 4372      155.59  3.94  0.47  0.40   RV
NGC 4372      179.44  4.22  0.25  0.23  GDR2
NGC 4372      234.84  4.06  0.24  0.23  GDR2
NGC 4372      236.95  3.56  0.43  0.35   RV
NGC 4372      310.55  3.39  0.21  0.20  GDR2
NGC 4372      360.33  3.26  0.39  0.32   RV
NGC 4372      418.52  2.96  0.20  0.19  GDR2
NGC 4372      521.23  3.11  0.74  0.54   RV
NGC 4372      543.28  2.77  0.28  0.25  GDR2
NGC 4590       48.87  3.71  0.36  0.31   RV
NGC 4590       71.36  3.55  0.46  0.44  GDR2
NGC 4590      130.28  2.79  0.27  0.23   RV
NGC 4590      250.41  2.36  0.23  0.20   RV
NGC 4590      262.24  2.17  0.44  0.44  GDR2
NGC 4590      530.17  1.88  0.26  0.22   RV
NGC 4833       33.19  5.40  0.68  0.57   RV
NGC 4833       72.40  4.50  0.35  0.32  GDR2
NGC 4833       95.59  4.90  0.60  0.50   RV
NGC 4833      128.39  4.68  0.35  0.32  GDR2
NGC 4833      160.27  3.31  0.41  0.35   RV
NGC 4833      176.09  3.54  0.31  0.27  GDR2
NGC 4833      224.08  4.11  0.34  0.31  GDR2
NGC 4833      287.62  3.77  0.49  0.40   RV
NGC 4833      318.49  3.51  0.32  0.29  GDR2
NGC 5024       43.37  5.68  0.55  0.48   RV
NGC 5024      111.26  4.44  0.69  0.64  GDR2
NGC 5024      119.13  3.91  0.39  0.34   RV
NGC 5024      216.40  3.61  0.36  0.31   RV
NGC 5024      308.49  3.54  0.94  0.94  GDR2
NGC 5024      325.30  3.35  0.33  0.29   RV
NGC 5024      618.91  2.25  0.25  0.21   RV
NGC 5053      120.70  1.51  0.25  0.20   RV
NGC 5053      312.77  1.29  0.23  0.18   RV
NGC 5139        2.28 17.77  1.92  1.92  W15
NGC 5139        3.90 22.82  1.97  1.74  K18
NGC 5139        4.33 20.06  2.01  2.01  W15
NGC 5139        6.02 22.85  1.48  1.48  W15
