# The final column indicates the type of data (RV/K18 are radial velocity dispersions - W15/GDR2 are proper motion dispersions). The proper motions from Watkins et al. and our Gaia proper motions were converted to km/sec using the cluster distances given in Baumgardt, Sollima, Hilker & Bellini (2019). If you use these profiles for your research, please give reference to these papers.

Cluster <r> NStar   σ   ΔσUp    ΔσLow   Type
Name    ['']  [km/sec]  [km/sec]    [km/sec]

NGC 5904       24.38  6.08  0.55  0.49   RV
NGC 5904       24.60  6.95  0.21  0.20  K18
NGC 5904       26.47  7.95  0.38  0.38  W15
NGC 5904       28.79  7.49  0.37  0.37  W15
NGC 5904       31.00  8.04  0.44  0.44  W15
NGC 5904       33.37  7.93  0.40  0.40  W15
NGC 5904       36.09  7.42  0.35  0.35  W15
NGC 5904       38.88  7.32  0.31  0.31  W15
NGC 5904       41.63  7.17  0.35  0.35  W15
NGC 5904       44.80  6.95  0.34  0.34  W15
NGC 5904       47.84  7.38  0.39  0.39  W15
NGC 5904       51.03  7.20  0.36  0.36  W15
NGC 5904       54.23  7.74  0.37  0.37  W15
NGC 5904       57.60  6.90  0.32  0.32  W15
NGC 5904       61.52  7.41  0.41  0.41  W15
NGC 5904       63.04  7.23  0.64  0.56   RV
NGC 5904       66.53  7.46  0.41  0.41  W15
NGC 5904       70.63  6.40  0.40  0.36  GDR2
NGC 5904       71.61  7.17  0.31  0.31  W15
NGC 5904       76.22  7.70  0.39  0.39  W15
NGC 5904       82.93  6.84  0.31  0.31  W15
NGC 5904       96.14  6.79  0.60  0.53   RV
NGC 5904      104.86  6.83  0.34  0.34  W15
NGC 5904      123.53  6.28  0.56  0.49   RV
NGC 5904      128.07  5.89  0.38  0.35  GDR2
NGC 5904      153.67  5.81  0.52  0.45   RV
NGC 5904      187.22  5.94  0.52  0.47   RV
NGC 5904      189.80  5.83  0.37  0.35  GDR2
NGC 5904      224.38  5.29  0.47  0.42   RV
NGC 5904      266.36  5.50  0.37  0.34  GDR2
NGC 5904      269.77  4.88  0.44  0.38   RV
NGC 5904      328.85  4.22  0.38  0.33   RV
NGC 5904      399.32  4.04  0.37  0.33   RV
NGC 5904      527.81  3.41  0.31  0.27   RV
NGC 5904      903.00  3.12  0.32  0.28   RV
NGC 5927        1.91  6.25  0.60  0.60  W15
NGC 5927        3.24  7.49  0.68  0.68  W15
NGC 5927        4.05  7.35  0.81  0.81  W15
NGC 5927        4.71  6.74  0.70  0.70  W15
NGC 5927        6.12  7.39  0.37  0.37  W15
NGC 5927        7.90  7.45  0.38  0.38  W15
NGC 5927        9.34  7.58  0.42  0.42  W15
NGC 5927       11.37  7.33  0.76  0.66   RV
NGC 5927       12.04  6.82  0.20  0.20  W15
NGC 5927       15.74  7.29  0.21  0.21  W15
NGC 5927       18.62  7.41  0.20  0.20  W15
NGC 5927       22.22  7.14  0.13  0.13  W15
NGC 5927       26.33  6.78  0.14  0.14  W15
NGC 5927       30.19  6.91  0.15  0.15  W15
NGC 5927       33.73  6.82  0.13  0.13  W15
NGC 5927       37.39  6.60  0.14  0.14  W15
NGC 5927       40.98  6.92  0.13  0.13  W15
NGC 5927       41.72  6.28  0.63  0.54   RV
NGC 5927       44.49  7.08  0.15  0.15  W15
NGC 5927       47.80  6.60  0.14  0.14  W15
NGC 5927       51.11  6.67  0.13  0.13  W15
NGC 5927       54.48  6.82  0.16  0.16  W15
NGC 5927       58.00  6.41  0.14  0.14  W15
NGC 5927       61.54  6.50  0.13  0.13  W15
NGC 5927       65.36  6.44  0.14  0.14  W15
NGC 5927       69.20  6.62  0.13  0.13  W15
NGC 5927       73.06  6.39  0.14  0.14  W15
NGC 5927       77.31  6.10  0.13  0.13  W15
NGC 5927       80.67  4.98  0.50  0.44   RV
NGC 5927       82.06  6.11  0.13  0.13  W15
NGC 5927       87.29  6.24  0.14  0.14  W15
NGC 5927       93.74  6.28  0.13  0.13  W15
NGC 5927      104.65  6.33  0.13  0.13  W15
NGC 5927      121.92  5.47  0.55  0.47   RV
NGC 5927      187.90  5.09  0.52  0.44   RV
NGC 5927      199.57  5.69  0.46  0.41  GDR2
NGC 5927      280.64  4.18  0.43  0.36   RV
NGC 5927      465.77  3.00  0.42  0.34   RV
NGC 5946        6.99  4.92  1.03  0.81   RV
NGC 5946       26.55  3.82  1.28  0.95   RV
NGC 5946       82.06  6.03  0.72  0.60  GDR2
NGC 5986       27.69  6.94  0.79  0.67   RV
NGC 5986       49.99  7.38  0.78  0.68  GDR2
NGC 5986       66.68  6.70  0.75  0.63   RV
NGC 5986       86.39  5.50  0.65  0.56  GDR2
NGC 5986       99.94  5.03  0.56  0.48   RV
NGC 5986      143.25  5.43  0.61  0.52  GDR2
NGC 5986      143.73  5.10  0.57  0.49   RV
NGC 5986      220.79  3.34  0.71  0.56  GDR2
NGC 5986      251.92  4.64  0.60  0.50   RV
NGC 6093        4.11  9.52  1.04  0.90   RV
NGC 6093       10.52 10.73  1.14  0.97   RV
NGC 6093       16.54  9.72  1.05  0.90   RV
NGC 6093       26.06  7.66  0.83  0.71   RV
NGC 6093       40.83  7.07  0.77  0.66   RV
NGC 6093       58.42  7.68  0.83  0.70   RV
NGC 6093       70.79  6.78  0.74  0.65  GDR2
NGC 6093       85.42  6.13  0.65  0.57   RV
NGC 6093      141.89  5.26  0.56  0.48   RV
NGC 6093      165.22  5.18  0.65  0.57  GDR2
NGC 6093      262.70  4.98  0.97  0.74   RV
NGC 6093      344.24  3.35  1.42  1.23  GDR2
NGC 6101       45.31  2.97  0.64  0.51   RV
NGC 6101       85.76  2.39  0.51  0.42   RV
NGC 6121       46.96  4.83  0.26  0.24   RV
NGC 6121       74.82  4.58  0.12  0.12  GDR2
NGC 6121       89.19  4.76  0.26  0.23   RV
NGC 6121      118.21  4.62  0.25  0.23   RV
NGC 6121      140.72  4.19  0.11  0.11  GDR2
NGC 6121      143.35  4.10  0.22  0.20   RV
NGC 6121      167.81  4.12  0.22  0.20   RV
NGC 6121      192.51  4.04  0.22  0.20   RV
NGC 6121      202.76  4.44  0.12  0.11  GDR2
NGC 6121      219.35  4.05  0.22  0.20   RV
NGC 6121      251.85  4.45  0.24  0.22   RV
NGC 6121      276.04  4.05  0.11  0.11  GDR2
NGC 6121      281.99  3.96  0.21  0.20   RV
NGC 6121      318.79  4.12  0.22  0.20   RV
NGC 6121      357.78  3.91  0.21  0.20   RV
NGC 6121      360.82  3.62  0.10  0.10  GDR2
NGC 6121      409.90  3.49  0.19  0.18   RV
NGC 6121      475.50  3.39  0.09  0.09  GDR2
NGC 6121      480.08  3.35  0.18  0.17   RV
NGC 6121      559.48  3.39  0.19  0.17   RV
NGC 6121      610.91  2.63  0.12  0.12  GDR2
NGC 6121      856.92  2.92  0.25  0.22   RV
NGC 6139       64.19  6.54  1.04  0.83   RV
NGC 6139       69.42  7.76  1.02  0.91  GDR2
NGC 6139      195.06  4.16  1.05  1.03  GDR2
NGC 6139      201.53  5.26  0.83  0.67   RV
NGC 6144      121.91  2.62  0.44  0.39  GDR2
NGC 6144      124.88  2.17  0.59  0.49   RV
NGC 6171       25.24  3.76  0.37  0.33   RV
NGC 6171       41.58  3.85  0.36  0.33  GDR2
NGC 6171       69.80  3.98  0.37  0.32   RV
NGC 6171       81.74  3.48  0.33  0.30  GDR2
NGC 6171      114.88  3.60  0.35  0.32  GDR2
NGC 6171      117.98  3.57  0.35  0.30   RV
NGC 6171      164.96  2.99  0.31  0.28  GDR2
NGC 6171      183.06  3.03  0.28  0.24   RV
NGC 6171      228.99  3.09  0.30  0.27  GDR2
NGC 6171      314.48  2.66  0.26  0.22   RV
NGC 6171      391.96  1.56  0.31  0.29  GDR2
NGC 6205       22.47  7.44  0.66  0.58   RV
NGC 6205       90.74  6.93  0.61  0.54   RV
NGC 6205       95.65  6.52  0.45  0.41  GDR2
NGC 6205      154.43  5.98  0.43  0.39  GDR2
NGC 6205      171.86  5.76  0.52  0.45   RV
NGC 6205      193.95  6.12  0.46  0.42  GDR2
NGC 6205      235.16  6.32  0.47  0.43  GDR2
NGC 6205      292.07  5.76  0.51  0.45   RV
NGC 6205      294.00  5.33  0.42  0.38  GDR2
NGC 6205      356.21  5.11  0.40  0.36  GDR2
NGC 6205      438.96  4.10  0.35  0.32  GDR2
NGC 6205      490.25  4.13  0.38  0.33   RV
NGC 6205      585.62  3.74  0.35  0.31  GDR2
NGC 6205      827.32  3.14  0.37  0.32   RV
NGC 6218       18.03  4.47  0.32  0.29   RV
NGC 6218       33.20  4.33  0.31  0.29   RV
NGC 6218       42.13  4.37  0.32  0.29   RV
NGC 6218       49.86  4.33  0.31  0.29   RV
NGC 6218       57.63  4.30  0.32  0.29   RV
NGC 6218       68.45  3.68  0.26  0.25  GDR2
NGC 6218       69.48  3.99  0.43  0.38   RV
NGC 6218       93.25  4.11  0.40  0.34   RV
NGC 6218      123.01  3.56  0.35  0.30   RV
NGC 6218      131.71  3.99  0.28  0.26  GDR2
NGC 6218      158.74  3.35  0.33  0.29   RV
NGC 6218      187.37  3.08  0.25  0.23  GDR2
NGC 6218      199.29  2.93  0.29  0.25   RV
NGC 6218      272.04  2.78  0.24  0.23  GDR2
NGC 6218      283.32  3.05  0.30  0.26   RV
NGC 6218      425.81  2.48  0.27  0.25  GDR2
NGC 6218      485.77  2.37  0.31  0.26   RV
NGC 6229       82.93  3.46  0.62  0.48   RV
NGC 6235       74.82  3.37  0.57  0.51  GDR2
NGC 6254        3.10  5.60  0.66  0.59  K18
NGC 6254        6.00  6.41  0.50  0.48  K18
NGC 6254        9.60  6.82  0.43  0.38  K18
NGC 6254       15.20  6.36  0.27  0.26  K18
NGC 6254       24.20  6.33  0.18  0.18  K18
NGC 6254       35.94  5.54  0.56  0.48   RV
NGC 6254       38.20  5.87  0.12  0.12  K18
NGC 6254       54.30  5.75  0.14  0.13  K18
NGC 6254       76.97  5.62  0.31  0.28  GDR2
NGC 6254       84.12  4.83  0.49  0.42   RV
NGC 6254      118.70  5.11  0.51  0.44   RV
NGC 6254      129.02  5.26  0.30  0.28  GDR2
NGC 6254      159.83  4.68  0.47  0.41   RV
NGC 6254      179.46  4.54  0.28  0.26  GDR2
NGC 6254      210.97  4.88  0.49  0.43   RV
NGC 6254      239.33  4.18  0.26  0.24  GDR2
NGC 6254      273.63  4.33  0.44  0.38   RV
NGC 6254      322.96  3.89  0.25  0.23  GDR2
NGC 6254      410.05  2.91  0.32  0.28   RV
NGC 6254      427.03  2.59  0.23  0.21  GDR2
NGC 6256       46.26  4.43  1.08  0.81   RV
NGC 6256       49.71  6.00  1.44  1.21  GDR2
NGC 6266        3.12 18.64  1.97  1.97  W15
NGC 6266        3.40 15.00  1.23  1.03  K18
NGC 6266        6.07 14.69  0.98  0.98  W15
NGC 6266        6.60 16.08  1.01  0.94  K18
NGC 6266        7.96 14.68  0.90  0.90  W15
NGC 6266        9.27 16.09  1.01  1.01  W15
NGC 6266       10.60 14.58  0.61  0.57  K18
NGC 6266       12.07 16.05  0.36  0.36  W15
NGC 6266       15.90 14.41  0.37  0.37  W15
NGC 6266       16.70 14.65  0.39  0.40  K18
NGC 6266       18.74 15.03  0.44  0.44  W15
NGC 6266       22.14 14.35  0.25  0.25  W15
NGC 6266       25.88 14.38  0.27  0.27  W15
NGC 6266       26.70 14.17  0.26  0.25  K18
NGC 6266       29.09 13.92  0.27  0.27  W15
NGC 6266       31.96 13.81  0.22  0.22  W15
NGC 6266       34.83 13.85  0.25  0.25  W15
NGC 6266       37.55 14.16  0.26  0.26  W15
NGC 6266       40.44 13.21  0.24  0.24  W15
NGC 6266       43.74 13.19  0.23  0.23  W15
NGC 6266       47.07 13.29  0.26  0.26  W15
NGC 6266       50.58 13.33  0.24  0.24  W15
NGC 6266       50.74 13.81  1.44  1.22   RV
NGC 6266       54.32 12.35  0.24  0.24  W15
NGC 6266       58.20 12.90  0.25  0.25  W15
NGC 6266       62.48 12.21  0.23  0.23  W15
NGC 6266       66.92 11.95  0.23  0.23  W15
NGC 6266       71.58 12.37  0.23  0.23  W15
NGC 6266       76.36 12.51  0.25  0.25  W15
NGC 6266       82.30 11.73  0.19  0.19  W15
NGC 6266       82.88 10.27  0.68  0.62  GDR2
NGC 6266       84.72 10.37  1.08  0.92   RV
NGC 6266       91.58 11.29  0.20  0.20  W15
NGC 6266      103.56 11.14  0.22  0.22  W15
NGC 6266      119.38 10.62  0.20  0.20  W15
NGC 6266      123.70  9.74  1.01  0.87   RV
NGC 6266      128.50 10.13  0.68  0.62  GDR2
NGC 6266      164.49  9.59  0.65  0.59  GDR2
NGC 6266      179.95  8.45  0.88  0.76   RV
NGC 6266      207.28  9.73  0.66  0.60  GDR2
NGC 6266      272.61  7.50  0.66  0.59  GDR2
NGC 6266      370.76  5.39  0.79  0.64   RV
NGC 6273       43.65 10.17  1.02  0.88   RV
NGC 6273       74.17 11.04  0.62  0.58  GDR2
NGC 6273       77.33  9.03  0.90  0.78   RV
NGC 6273      120.18  9.94  0.99  0.86   RV
NGC 6273      128.56  8.85  0.53  0.50  GDR2
NGC 6273      185.21  6.86  0.46  0.42  GDR2
NGC 6273      186.05  6.28  0.63  0.55   RV
NGC 6273      298.71  5.16  0.43  0.40  GDR2
NGC 6273      329.83  5.69  0.72  0.60   RV
NGC 6284       79.79  4.90  0.75  0.70  GDR2
NGC 6284      124.73  3.62  0.53  0.43   RV
NGC 6287       48.89  5.01  0.70  0.64  GDR2
NGC 6287      145.82  3.58  0.65  0.61  GDR2
NGC 6293        6.10  7.13  0.74  0.69  K18
NGC 6293       11.80  7.77  0.78  0.74  K18
NGC 6293       18.80  6.94  0.70  0.63  K18
NGC 6293       28.20  5.41  0.54  0.46  K18
NGC 6293       39.65  5.79  0.61  0.55  GDR2
NGC 6293       85.17  5.27  0.62  0.56  GDR2
NGC 6293      149.89  3.41  0.68  0.62  GDR2
NGC 6304       27.91  5.73  0.63  0.54   RV
NGC 6304       44.11  5.05  0.57  0.51  GDR2
NGC 6304       56.42  4.77  0.54  0.46   RV
NGC 6304       85.90  4.88  0.58  0.52  GDR2
NGC 6304      102.53  4.66  0.52  0.45   RV
NGC 6304      153.17  3.63  0.50  0.43  GDR2
NGC 6304      170.70  3.77  0.49  0.41   RV
NGC 6316       44.18  7.01  0.95  0.79   RV
NGC 6316       71.96  7.80  1.33  1.11  GDR2
NGC 6316      138.74  6.04  0.91  0.73   RV
NGC 6325       33.71  5.49  0.76  0.64   RV
NGC 6325       39.62  4.80  0.66  0.56  GDR2
NGC 6325       95.04  4.32  1.01  0.76  GDR2
NGC 6333       12.54  9.07  1.57  1.23   RV
NGC 6333       55.74  6.48  0.47  0.44  GDR2
NGC 6333       98.23  6.65  0.52  0.47  GDR2
NGC 6333      115.83  7.22  2.11  1.50   RV
NGC 6333      150.07  5.53  0.47  0.44  GDR2
NGC 6333      212.70  4.29  0.47  0.43  GDR2
NGC 6341        3.28  8.12  0.90  0.90  W15
NGC 6341        6.30  8.75  0.68  0.68  W15
NGC 6341        7.96  7.59  0.65  0.65  W15
NGC 6341        9.32  8.19  0.57  0.57  W15
NGC 6341       12.39  8.24  0.28  0.28  W15
NGC 6341       13.17  7.81  0.87  0.73   RV
NGC 6341       16.05  8.71  0.32  0.32  W15
NGC 6341       18.82  8.34  0.32  0.32  W15
NGC 6341       21.76  8.37  0.24  0.24  W15
NGC 6341       25.07  7.70  0.21  0.21  W15
NGC 6341       28.38  7.86  0.22  0.22  W15
NGC 6341       31.43  7.61  0.23  0.23  W15
NGC 6341       34.49  7.55  0.24  0.24  W15
NGC 6341       37.48  7.73  0.21  0.21  W15
NGC 6341       40.38  7.53  0.23  0.23  W15
NGC 6341       43.34  7.53  0.21  0.21  W15
NGC 6341       46.68  7.39  0.19  0.19  W15
NGC 6341       49.93  7.13  0.21  0.21  W15
NGC 6341       53.42  7.23  0.20  0.20  W15
NGC 6341       57.00  7.21  0.19  0.19  W15
NGC 6341       57.25  6.36  0.70  0.59   RV
NGC 6341       60.77  6.80  0.18  0.18  W15
NGC 6341       64.50  7.09  0.20  0.20  W15
NGC 6341       68.67  6.76  0.20  0.20  W15
NGC 6341       69.81  7.73  0.76  0.66  GDR2
NGC 6341       72.74  6.65  0.22  0.22  W15
NGC 6341       77.10  6.92  0.20  0.20  W15
NGC 6341       82.46  6.55  0.19  0.19  W15
NGC 6341       89.04  6.18  0.18  0.18  W15
NGC 6341      100.62  6.02  0.66  0.56   RV
NGC 6341      100.95  6.16  0.19  0.19  W15
NGC 6341      124.59  7.24  0.74  0.65  GDR2
NGC 6341      146.42  5.18  0.57  0.48   RV
NGC 6341      176.26  5.89  0.62  0.54  GDR2
NGC 6341      193.61  4.52  0.51  0.43   RV
NGC 6341      249.34  4.54  0.51  0.45  GDR2
NGC 6341      250.12  3.62  0.41  0.34   RV
NGC 6341      355.93  3.36  0.40  0.33   RV
NGC 6341      462.63  3.02  0.53  0.47  GDR2
NGC 6341      616.38  3.17  0.45  0.37   RV
NGC 6342        6.63  5.87  1.16  0.89   RV
NGC 6342       14.11  4.79  1.00  0.79   RV
NGC 6342       46.63  3.39  0.88  0.64   RV
NGC 6342       47.40  3.99  0.70  0.65  GDR2
NGC 6342      130.61  2.23  0.67  0.70  GDR2
NGC 6352       23.68  3.86  0.76  0.59   RV
NGC 6352       50.36  3.18  0.26  0.24  GDR2
NGC 6352       97.45  2.66  0.25  0.23  GDR2
NGC 6352      145.76  3.12  0.65  0.52   RV
NGC 6352      161.65  2.68  0.24  0.23  GDR2
NGC 6355        9.67  4.31  0.74  0.61   RV
NGC 6355       35.90  5.39  1.01  0.89  GDR2
NGC 6355       48.07  3.06  0.81  0.60   RV
NGC 6355      170.85  3.81  1.13  1.04  GDR2
NGC 6356       10.36  6.86  1.18  0.94   RV
NGC 6356       65.90  6.16  1.42  1.07   RV
NGC 6356      103.56  6.37  1.55  1.25  GDR2
NGC 6362        7.19  3.85  0.44  0.44  W15
NGC 6362       14.33  3.81  0.39  0.39  W15
NGC 6362       18.21  3.61  0.37  0.37  W15
NGC 6362       23.60  3.85  0.28  0.28  W15
NGC 6362       28.67  2.97  0.23  0.23  W15
NGC 6362       33.33  3.18  0.24  0.24  W15
NGC 6362       34.96  3.81  0.40  0.34   RV
NGC 6362       37.97  3.79  0.30  0.30  W15
NGC 6362       41.36  3.92  0.27  0.27  W15
NGC 6362       45.03  3.72  0.28  0.28  W15
NGC 6362       48.23  3.68  0.28  0.28  W15
NGC 6362       51.22  3.68  0.26  0.26  W15
NGC 6362       54.06  3.61  0.23  0.23  W15
NGC 6362       56.96  3.11  0.21  0.21  W15
NGC 6362       60.30  3.63  0.27  0.27  W15
NGC 6362       62.91  3.82  0.29  0.26  GDR2
NGC 6362       63.37  3.33  0.27  0.27  W15
NGC 6362       65.93  3.45  0.24  0.24  W15
NGC 6362       69.12  3.78  0.27  0.27  W15
NGC 6362       72.45  3.55  0.24  0.24  W15
NGC 6362       74.14  3.82  0.40  0.34   RV
NGC 6362       75.42  3.32  0.24  0.24  W15
NGC 6362       78.34  3.60  0.25  0.25  W15
NGC 6362       81.81  3.51  0.26  0.26  W15
NGC 6362       86.95  3.60  0.25  0.25  W15
NGC 6362       95.30  2.68  0.24  0.24  W15
NGC 6362      109.09  3.16  0.33  0.29   RV
NGC 6362      154.89  2.85  0.22  0.20  GDR2
NGC 6362      165.14  2.86  0.30  0.26   RV
NGC 6362      246.50  2.78  0.30  0.26   RV
NGC 6362      285.07  2.00  0.21  0.18  GDR2
NGC 6362      376.41  2.01  0.26  0.22   RV
NGC 6366       84.77  2.04  0.23  0.20   RV
NGC 6366      185.64  2.23  0.23  0.20   RV
NGC 6366      340.48  1.95  0.23  0.20   RV
NGC 6366      447.84  1.91  0.24  0.22  GDR2
NGC 6380       10.36  7.35  1.15  0.93   RV
NGC 6380       78.17  4.35  0.68  0.56   RV
NGC 6380       94.94  5.45  1.62  1.36  GDR2
NGC 6388        4.80 19.06  1.55  1.30  K18
NGC 6388        9.50 19.44  1.03  0.93  K18
NGC 6388       13.17 15.10  1.43  1.43  W15
NGC 6388       15.00 17.38  0.46  0.45  K18
NGC 6388       17.05 14.28  1.31  1.31  W15
NGC 6388       19.14 17.26  1.35  1.35  W15
NGC 6388       23.06 13.64  1.33  1.16   RV
NGC 6388       23.50 16.11  0.29  0.29  K18
NGC 6388       26.36 14.65  0.30  0.30  W15
NGC 6388       34.18 14.05  0.34  0.34  W15
NGC 6388       37.30 13.78  0.18  0.18  K18
NGC 6388       39.39 13.58  0.34  0.34  W15
NGC 6388       43.89 13.39  0.36  0.36  W15
NGC 6388       47.83 13.74  0.32  0.32  W15
NGC 6388       51.40 12.74  0.32  0.32  W15
NGC 6388       53.50 13.16  0.20  0.19  K18
NGC 6388       54.77 12.80  0.32  0.32  W15
NGC 6388       57.99 13.04  0.32  0.32  W15
NGC 6388       60.81 13.07  0.30  0.30  W15
NGC 6388       61.08 11.43  1.09  0.95   RV
NGC 6388       63.63 12.47  0.30  0.30  W15
NGC 6388       66.48 12.37  0.26  0.26  W15
NGC 6388       69.43 12.17  0.30  0.30  W15
NGC 6388       72.49 12.24  0.30  0.30  W15
NGC 6388       75.64 11.39  0.28  0.28  W15
NGC 6388       79.12 11.79  0.28  0.28  W15
NGC 6388       79.28 10.67  0.72  0.66  GDR2
NGC 6388       83.14 11.73  0.27  0.27  W15
NGC 6388       86.76 11.64  1.10  0.96   RV
NGC 6388       87.73 11.76  0.27  0.27  W15
NGC 6388       93.62 11.61  0.25  0.25  W15
NGC 6388      101.85 10.90  0.26  0.26  W15
NGC 6388      113.00 10.29  0.98  0.85   RV
NGC 6388      115.57 10.21  0.25  0.25  W15
NGC 6388      118.94 10.25  0.74  0.68  GDR2
NGC 6388      144.28  8.26  0.79  0.68   RV
NGC 6388      149.61  8.42  0.69  0.64  GDR2
NGC 6388      178.86  8.86  0.85  0.73   RV
NGC 6388      192.74  8.22  0.66  0.62  GDR2
NGC 6388      246.65  6.74  0.64  0.56   RV
NGC 6388      318.54  6.34  0.73  0.67  GDR2
NGC 6388      375.10  5.32  0.57  0.48   RV
NGC 6397        2.55  5.16  0.50  0.50  W15
NGC 6397        4.95  5.34  0.59  0.59  W15
NGC 6397        6.91  5.63  0.50  0.50  W15
NGC 6397        8.61  5.66  0.52  0.52  W15
NGC 6397       12.16  4.92  0.32  0.32  W15
NGC 6397       15.15  5.00  0.37  0.37  W15
NGC 6397       18.41  5.10  0.41  0.41  W15
NGC 6397       22.60  5.24  0.26  0.26  W15
NGC 6397       27.21  5.16  0.27  0.27  W15
NGC 6397       30.32  4.83  0.27  0.25   RV
NGC 6397       31.46  4.90  0.31  0.31  W15
NGC 6397       36.12  4.71  0.26  0.26  W15
NGC 6397       40.55  4.73  0.27  0.27  W15
NGC 6397       45.35  4.68  0.29  0.29  W15
NGC 6397       49.61  5.11  0.29  0.29  W15
NGC 6397       53.19  4.92  0.28  0.28  W15
NGC 6397       57.01  5.36  0.28  0.28  W15
NGC 6397       62.22  5.04  0.25  0.25  W15
NGC 6397       67.64  4.79  0.28  0.28  W15
NGC 6397       72.50  4.82  0.30  0.30  W15
NGC 6397       76.21  4.87  0.31  0.31  W15
NGC 6397       80.01  4.52  0.25  0.23   RV
NGC 6397       81.16  4.45  0.22  0.22  W15
NGC 6397       86.03  4.77  0.26  0.26  W15
NGC 6397       90.63  4.66  0.27  0.27  W15
NGC 6397       95.36  4.48  0.23  0.23  W15
NGC 6397       99.25  4.57  0.10  0.09  GDR2
NGC 6397      100.14  4.63  0.26  0.26  W15
NGC 6397      106.44  4.59  0.29  0.29  W15
NGC 6397      119.25  4.18  0.21  0.21  W15
NGC 6397      126.82  4.09  0.22  0.21   RV
NGC 6397      166.54  3.80  0.21  0.19   RV
NGC 6397      173.71  4.13  0.09  0.09  GDR2
NGC 6397      205.92  4.10  0.23  0.20   RV
NGC 6397      231.57  4.13  0.09  0.09  GDR2
NGC 6397      247.16  3.62  0.20  0.19   RV
NGC 6397      288.91  3.73  0.09  0.09  GDR2
NGC 6397      291.37  3.82  0.21  0.19   RV
NGC 6397      338.16  3.44  0.19  0.18   RV
NGC 6397      352.48  3.38  0.08  0.09  GDR2
NGC 6397      386.03  3.44  0.19  0.18   RV
NGC 6397      427.50  3.31  0.08  0.09  GDR2
NGC 6397      444.59  3.49  0.20  0.18   RV
NGC 6397      512.95  2.97  0.17  0.15   RV
NGC 6397      517.74  3.23  0.09  0.08  GDR2
NGC 6397      592.57  2.74  0.15  0.14  GDR2
NGC 6397      727.02  2.79  0.17  0.15   RV
NGC 6401       46.25  7.82  1.20  1.07  GDR2
NGC 6401       84.30  7.18  1.17  1.05  GDR2
NGC 6401      118.91  4.75  1.28  1.11  GDR2
NGC 6401      132.20  7.31  1.59  1.21   RV
NGC 6402       45.72  9.39  0.94  0.80   RV
NGC 6402       76.35  9.62  0.63  0.58  GDR2
NGC 6402       80.47  8.38  0.84  0.71   RV
NGC 6402      112.10  7.17  0.72  0.62   RV
NGC 6402      119.57  8.38  0.59  0.55  GDR2
NGC 6402      151.57  8.21  0.82  0.70   RV
NGC 6402      156.14  6.58  0.51  0.47  GDR2
NGC 6402      209.55  7.00  0.53  0.49  GDR2
NGC 6402      220.76  6.65  0.66  0.58   RV
NGC 6402      327.64  4.54  0.53  0.49  GDR2
NGC 6402      390.68  4.55  0.60  0.49   RV
NGC 6426       85.88  1.99  0.45  0.36   RV
NGC 6440       24.50 12.28  1.53  1.27   RV
NGC 6440       79.33  8.88  1.11  0.92   RV
NGC 6440       96.74  8.80  1.34  1.22  GDR2
NGC 6440      185.60  6.58  0.89  0.74   RV
NGC 6441        3.10 14.30  1.12  0.98  K18
NGC 6441        6.40 19.13  1.21  1.11  K18
NGC 6441       10.00 13.93  1.37  1.37  W15
NGC 6441       10.30 18.23  0.72  0.68  K18
NGC 6441       13.61 14.59  1.33  1.33  W15
NGC 6441       14.68 16.07  0.85  0.78   RV
NGC 6441       16.40 17.13  0.40  0.39  K18
NGC 6441       16.65 15.40  1.47  1.47  W15
NGC 6441       18.95 15.22  1.38  1.38  W15
NGC 6441       25.15 15.93  0.84  0.77   RV
NGC 6441       25.80 16.33  0.29  0.28  K18
NGC 6441       28.08 14.19  0.35  0.35  W15
NGC 6441       37.12 14.49  0.36  0.36  W15
NGC 6441       37.75 15.68  0.83  0.76   RV
NGC 6441       40.70 14.96  0.19  0.19  K18
NGC 6441       42.43 14.92  0.32  0.32  W15
NGC 6441       46.24 14.39  0.35  0.35  W15
NGC 6441       49.42 13.68  0.32  0.32  W15
NGC 6441       52.61 13.89  0.29  0.29  W15
NGC 6441       54.30 13.17  1.01  0.90   RV
NGC 6441       55.71 13.20  0.31  0.31  W15
NGC 6441       56.40 14.31  0.26  0.26  K18
NGC 6441       58.63 13.95  0.33  0.33  W15
NGC 6441       61.47 12.50  0.29  0.29  W15
NGC 6441       64.08 12.84  0.33  0.33  W15
NGC 6441       66.52 13.26  0.33  0.33  W15
NGC 6441       69.18 13.28  0.34  0.34  W15
NGC 6441       72.23 11.87  0.32  0.32  W15
NGC 6441       75.43 12.60  0.29  0.29  W15
NGC 6441       79.05 12.37  0.26  0.26  W15
NGC 6441       80.96 12.13  1.02  0.92  GDR2
NGC 6441       83.09 11.77  0.30  0.30  W15
NGC 6441       87.57 11.86  0.30  0.30  W15
NGC 6441       92.57 11.55  0.27  0.27  W15
NGC 6441       99.53 10.86  0.24  0.24  W15
NGC 6441      107.26 10.90  0.83  0.73   RV
NGC 6441      113.35 11.26  0.24  0.24  W15
NGC 6441      133.45  9.37  0.85  0.78  GDR2
NGC 6441      261.10  7.67  0.71  0.62   RV
NGC 6453       11.25  5.37  1.03  0.81   RV
NGC 6453       99.36  5.06  0.83  0.76  GDR2
NGC 6496       58.80  2.85  0.35  0.31   RV
NGC 6496      130.87  2.56  0.31  0.26   RV
