     rad density density_err 
     4.542711    14.55546     1.66963 
     4.717327    15.41865     1.76864 
     4.913280    10.91217     1.25171 
     5.117314    12.95457     1.48599 
     5.323470    10.01539     1.14136 
     5.549306     9.82635     1.12716 
     5.755027    11.08407     1.27143 
     5.948923    10.26024     1.17693 
     6.173134     7.82977     0.89814 
     6.423593     7.61098     0.86735 
     6.684979     6.64958     0.76276 
     6.951351     6.67614     0.76581 
     7.224186     5.87428     0.67383 
     7.531729     4.86577     0.55814 
     7.874545     4.37676     0.49878 
     8.265050     3.43998     0.39459 
     8.714595     2.93038     0.33614 
     9.155660     3.23428     0.37100 
     9.624832     2.37178     0.27206 
    10.179717     2.07596     0.23658 
    10.860716     1.42402     0.16335 
    11.734664     1.06727     0.12242 
    12.930386     0.65616     0.07527 
    14.927070     0.31558     0.03620 
    17.653143     0.24067     0.02743 
    21.189635     0.13628     0.01563 
    25.562975     0.10381     0.01191 
    29.580239     0.11763     0.01349 
    33.310326     0.09115     0.01046 
    37.217343     0.08597     0.00980 
    40.869380     0.08520     0.00977 
    43.988032     0.09950     0.01141 
    47.122955     0.07321     0.00840 
    50.150996     0.09459     0.01085 
    52.740446     0.08838     0.01007 
    55.130900     0.10196     0.01170 
    57.242187     0.10204     0.01170 
    59.225597     0.10772     0.01236 
    61.305836     0.08713     0.00999 
    63.478841     0.09275     0.01057 
    65.484533     0.09571     0.01098 
    67.272662     0.10921     0.01253 
    69.001822     0.09675     0.01110 
    70.755055     0.10088     0.01157 
    72.510325     0.09307     0.01061 
    74.281938     0.09428     0.01081 
    75.902264     0.10530     0.01208 
    77.279004     0.12622     0.01448 
    78.639941     0.10380     0.01191 
    80.174520     0.09629     0.01097 
    81.932334     0.07656     0.00878 
    83.590764     0.10421     0.01195 
    84.972808     0.10349     0.01187 
    86.409022     0.09351     0.01073 
    87.898520     0.09407     0.01072 
    89.421057     0.08654     0.00993 
    90.834094     0.10543     0.01209 
    92.123650     0.09977     0.01144 
    93.489023     0.09145     0.01049 
    94.840652     0.10028     0.01143 
    96.036652     0.11414     0.01309 
    97.187444     0.10388     0.01192 
    98.465778     0.09042     0.01037 
    99.658150     0.11827     0.01357 
   100.751978     0.10473     0.01193 
   101.802745     0.12639     0.01450 
   102.835312     0.10455     0.01199 
   103.982464     0.09949     0.01141 
   105.070307     0.11438     0.01312 
