Cluster         RA          DEC       DCEN        RV       E_RV   P_Mem NRV    MJD    P_Single   GDR2 G           GDR2 B-R   P_Mem_PM
                                    [arcsec]   [km/sec]  [km/sec]                                [mag]              [mag]
NGC6266   254.499577   -29.866109   2659.91    -68.16     3.57   0.000   1  57203.50  1.000  13.304+-0.000   1.423+-0.002  0.000
NGC6266   254.500808   -30.303073   2588.12    -74.81     1.42   0.000   1  57203.50  1.000  13.045+-0.001   1.964+-0.002  0.000
NGC6266   254.501389   -29.958741   2560.80     49.22     0.59   0.000   1  57203.50  1.000  13.048+-0.000   1.824+-0.002  0.000
NGC6266   254.501752   -30.012424   2523.96     38.54     2.27   0.000   1  57203.50  1.000  13.622+-0.000   1.682+-0.002  0.000
NGC6266   254.502137   -30.013762   2522.06    -62.66     0.38   0.000   1  57203.50  1.000  13.317+-0.000   1.649+-0.001  0.000
NGC6266   254.505078   -30.136868   2486.94   -200.30     0.86   0.000   1  57203.50  1.000  12.344+-0.000   1.742+-0.002  0.000
NGC6266   254.511917   -29.795528   2721.33    -14.27     1.16   0.000   1  57203.50  1.000  13.121+-0.000   1.107+-0.009  0.000
NGC6266   254.515707   -30.199192   2470.91     -2.56     0.84   0.000   1  57203.50  1.000  12.916+-0.000   1.669+-0.002  0.000
NGC6266   254.515915   -29.826643   2664.26    -22.53     0.22   0.000   1  57203.50  1.000  12.230+-0.000   1.758+-0.001  0.000
NGC6266   254.516560   -30.269199   2511.32   -138.94     0.44   0.000   1  57203.50  1.000  13.004+-0.001   2.498+-0.005  0.000
NGC6266   254.523061   -29.928314   2522.04    -42.83     2.57   0.000   1  57203.50  1.000   9.083+-0.000   1.717+-0.001  0.000
NGC6266   254.523880   -29.845199   2615.75     39.25     1.38   0.000   1  57203.50  1.000  13.770+-0.000   2.117+-0.002  0.000
NGC6266   254.527446   -30.121648   2416.25    -79.70     0.45   0.000   1  57203.50  1.000  12.543+-0.000   1.514+-0.001  0.000
NGC6266   254.527916   -30.021045   2438.78    -54.93     2.55   0.000   1  57203.50  1.000  14.059+-0.000   1.878+-0.003  0.000
NGC6266   254.533251   -30.186433   2411.47    -52.39     0.31   0.000   1  57203.50  1.000  11.088+-0.001   1.477+-0.001  0.000
NGC6266   254.535029   -30.080423   2395.97   -127.82     8.39   0.000   1  57203.50  1.000  14.542+-0.000   1.877+-0.002  0.000
NGC6266   254.540510   -30.417774   2612.22     23.78     2.00   0.000   1  57203.50  1.000  12.380+-0.004   1.990+-0.021  0.000
NGC6266   254.542301   -30.204928   2391.47   -160.39     0.58   0.000   1  57203.50  1.000  12.864+-0.001   2.100+-0.002  0.000
NGC6266   254.543787   -30.345514   2505.55    -11.08     0.68   0.000   1  57203.50  1.000  13.031+-0.001   2.282+-0.004  0.000
NGC6266   254.549088   -30.293800   2434.54     52.88     1.60   0.000   1  57203.50  1.000  13.469+-0.001   2.196+-0.004  0.000
NGC6266   254.551850   -29.896399   2469.93     46.33     0.51   0.000   1  57203.50  1.000  12.337+-0.000   1.518+-0.002  0.000
NGC6266   254.553414   -29.915230   2444.43   -157.29     2.51   0.000   1  57203.50  1.000  12.721+-0.000   1.960+-0.002  0.000
NGC6266   254.556927   -29.869194   2488.17    -82.44     1.28   0.000   1  57203.50  1.000  12.791+-0.000   1.487+-0.001  0.000
NGC6266   254.557611   -30.298350   2413.40    -78.87     0.77   0.000   1  57203.50  1.000  13.325+-0.009   3.132+-0.049  0.000
NGC6266   254.561483   -30.199834   2329.90    -44.03     0.73   0.000   1  57203.50  1.000  12.523+-0.000   1.958+-0.002  0.000
NGC6266   254.563553   -30.362341   2468.79    -69.58     0.38   0.000   1  57203.50  1.000  11.914+-0.001   2.192+-0.003  0.000
NGC6266   254.563748   -30.060759   2311.63     -4.60     3.20   0.000   1  57203.50  1.000  13.020+-0.000   1.781+-0.002  0.000
NGC6266   254.564079   -29.813253   2546.72    -47.27     4.55   0.000   1  57203.50  1.000  13.635+-0.000   1.475+-0.002  0.000
NGC6266   254.567116   -30.077252   2296.83    -34.34     5.41   0.000   1  57203.50  1.000  12.056+-0.000   0.841+-0.002  0.000
NGC6266   254.567950   -30.300705   2384.85    -14.45     0.89   0.000   1  57203.50  1.000  12.417+-0.000   1.467+-0.002  0.000
NGC6266   254.570289   -30.205516   2305.51    -54.37     0.57   0.000   1  57203.50  1.000  11.720+-0.002   2.205+-0.009  0.000
NGC6266   254.575997   -30.431880   2534.85     -2.75     2.32   0.000   1  57203.50  1.000   9.524+-0.000   0.674+-0.002  0.000
NGC6266   254.582895   -29.834020   2462.00     12.98     0.41   0.000   1  57203.50  1.000  12.347+-0.000   1.539+-0.001  0.000
NGC6266   254.583564   -30.303638   2341.32     31.28     0.55   0.000   1  57203.50  1.000  10.004+-0.000   0.745+-0.001  0.000
NGC6266   254.586261   -30.341599   2376.52    -81.63     0.62   0.000   1  57203.50  1.000  13.151+-0.001   2.135+-0.004  0.000
NGC6266   254.594387   -29.956883   2280.47   -158.73     0.66   0.000   1  57203.50  1.000  12.166+-0.002   3.086+-0.011  0.000
NGC6266   254.594967   -30.371736   2390.83     21.32     1.25   0.000   1  57203.50  1.000  12.846+-0.001   2.103+-0.002  0.000
NGC6266   254.602607   -29.919942   2292.95    -25.45     1.13   0.000   1  57203.50  1.000  12.801+-0.000   1.584+-0.001  0.000
NGC6266   254.603658   -30.050767   2191.30    -38.83     0.22   0.000   1  57203.50  1.000  13.137+-0.000   1.644+-0.002  0.000
NGC6266   254.607544   -30.050858   2179.22      0.58     0.33   0.000   1  57203.50  1.000  12.524+-0.000   2.089+-0.003  0.000
NGC6266   254.610290   -30.421851   2423.57    -83.31     1.01   0.000   1  57203.50  1.000  12.946+-0.001   2.018+-0.002  0.000
NGC6266   254.613762   -29.821592   2393.92    -28.18     1.94   0.000   1  57203.50  1.000  13.932+-0.000   1.831+-0.002  0.000
NGC6266   254.620184   -29.827655   2366.31    -31.56     0.57   0.000   1  57203.50  1.000  12.890+-0.000   1.575+-0.001  0.000
NGC6266   254.620635   -29.647564   2712.43     64.27     0.97   0.000   1  57203.50  1.000  13.734+-0.001   2.284+-0.004  0.000
NGC6266   254.621796   -29.982744   2175.49   -130.07     0.62   0.000   1  57203.50  1.000  12.047+-0.000   1.650+-0.001  0.000
NGC6266   254.623150   -30.356466   2288.92    -55.73     1.51   0.000   1  57203.50  1.000  13.070+-0.000   1.789+-0.002  0.000
NGC6266   254.624465   -30.236616   2158.57     -2.42     9.53   0.000   1  57203.50  1.000  14.137+-0.000   1.856+-0.002  0.000
NGC6266   254.624841   -29.886482   2267.99      0.09     2.90   0.000   1  57203.50  1.000  12.167+-0.000   1.607+-0.002  0.000
NGC6266   254.626484   -29.863276   2294.95     76.84     1.61   0.000   1  57203.50  1.000  13.271+-0.000   1.850+-0.002  0.000
NGC6266   254.632977   -30.382775   2298.72    -28.09     0.83   0.000   1  57203.50  1.000  12.398+-0.000   1.709+-0.001  0.000
NGC6266   254.634101   -30.396708   2317.03     19.84     5.43   0.000   1  57203.50  1.000  14.199+-0.000   1.709+-0.002  0.000
NGC6266   254.635928   -29.669736   2625.57     39.13     0.52   0.000   1  57203.50  1.000  10.311+-0.003   3.155+-0.021  0.000
NGC6266   254.638416   -30.113398   2070.62   -100.10     2.52   0.000   1  57203.50  1.000  13.478+-0.000   1.860+-0.002  0.000
NGC6266   254.640278   -29.655423   2646.74    -83.60     3.19   0.000   1  57203.50  1.000  13.734+-0.000   2.008+-0.003  0.000
NGC6266   254.645667   -30.011122   2082.11   -206.70     0.57   0.000   1  57203.50  1.000  12.997+-0.002   2.469+-0.009  0.000
NGC6266   254.646027   -29.623319   2706.91    -46.86     0.52   0.000   1  57203.50  1.000  11.432+-0.001   1.925+-0.003  0.000
