rad       density     density_err 
33.385253     3.37622     0.30198 
33.566118     3.17418     0.28505 
33.748565     3.25478     0.29229 
33.925410     3.36973     0.30140 
34.102740     3.20369     0.28770 
34.262405     4.15300     0.37295 
34.410217     3.68419     0.32952 
34.574641     3.32014     0.29816 
34.751738     3.11559     0.27979 
34.922194     3.59105     0.32119 
35.081731     3.50637     0.31488 
35.248398     3.23830     0.29081 
35.409065     3.78505     0.33855 
35.559456     3.64301     0.32715 
35.725467     3.07444     0.27609 
35.900370     3.25732     0.29134 
36.063569     3.50182     0.31447 
36.219326     3.50983     0.31519 
36.379078     3.32928     0.29778 
36.548639     3.08796     0.27731 
36.720265     3.19169     0.28662 
36.882899     3.43828     0.30753 
37.047120     3.10504     0.27884 
37.215054     3.22751     0.28984 
37.386956     2.96453     0.26516 
37.548131     3.67925     0.33041 
37.703368     3.12274     0.28043 
37.858750     3.67105     0.32835 
38.004373     3.50627     0.31487 
38.162113     3.08967     0.27746 
38.332350     2.99833     0.26818 
38.496197     3.31600     0.29779 
38.652632     3.22600     0.28970 
38.812155     3.18816     0.28516 
38.975891     3.03755     0.27278 
39.136391     3.26799     0.29347 
39.294033     3.14511     0.28131 
39.452029     3.22705     0.28980 
39.612505     3.00231     0.26962 
39.772182     3.23448     0.29046 
39.922807     3.37072     0.30149 
40.084050     2.81908     0.25316 
40.258528     2.81231     0.25255 
40.413975     3.60412     0.32236 
40.573238     2.67342     0.24008 
40.736983     3.32852     0.29891 
40.893649     2.89950     0.25934 
41.063260     2.80336     0.25175 
41.228856     2.99634     0.26908 
41.379151     3.41376     0.30534 
41.529697     2.96532     0.26629 
41.690330     2.94002     0.26402 
41.838833     3.49649     0.31274 
41.982035     3.12537     0.28067 
42.138162     2.89381     0.25987 
42.298041     2.97841     0.26640 
42.448090     3.26994     0.29365 
42.593131     3.13280     0.28133 
42.757216     2.58107     0.23086 
42.921703     3.09197     0.27767 
43.081067     2.69435     0.24196 
43.241151     3.06415     0.27407 
43.380351     3.54726     0.31855 
43.517251     3.11575     0.27980 
43.679370     2.54897     0.22799 
43.831093     3.60899     0.32410 
43.968955     2.97319     0.26700 
44.113160     3.28117     0.29348 
44.262847     2.75347     0.24727 
44.413892     3.17024     0.28470 
44.562303     2.84975     0.25489 
44.718116     2.84786     0.25574 
44.875881     2.73894     0.24596 
45.019272     3.50114     0.31315 
45.152911     3.09850     0.27825 
45.284423     3.57326     0.32089 
45.415731     3.11438     0.27856 
45.563679     2.79007     0.25056 
45.706327     3.32004     0.29815 
45.847598     2.84561     0.25452 
45.986942     3.40058     0.30538 
46.115779     3.25501     0.29231 
46.253890     2.97145     0.26577 
46.400483     2.86533     0.25731 
46.539089     3.29303     0.29572 
46.673409     3.04754     0.27258 
46.824287     2.60344     0.23380 
46.974271     3.04274     0.27325 
47.113219     3.02004     0.27012 
47.261935     2.64941     0.23792 
47.417062     2.72662     0.24486 
47.572048     2.65814     0.23775 
47.712389     3.35310     0.30112 
47.836654     3.29589     0.29598 
47.979302     2.58955     0.23162 
48.123581     3.19299     0.28674 
48.243444     3.67576     0.33009 
48.362176     3.26025     0.29161 
48.485117     3.40030     0.30536 
48.613887     2.94525     0.26449 
48.753543     2.88429     0.25798 
48.886838     3.22663     0.28976 
49.014113     3.11071     0.27935 
49.149331     2.87079     0.25677 
49.289826     2.86006     0.25684 
49.423714     3.12490     0.28062 
49.554037     3.02168     0.27027 
49.692223     2.76741     0.24852 
49.841024     2.56963     0.23076 
49.988809     2.81302     0.25160 
50.126282     2.94980     0.26490 
50.270743     2.52538     0.22679 
50.416599     2.89598     0.25902 
50.551683     2.91535     0.26181 
50.687491     2.82743     0.25391 
50.823932     2.89575     0.25900 
50.957782     2.92237     0.26244 
51.087817     3.02873     0.27199 
51.222829     2.72594     0.24382 
51.358172     2.99726     0.26916 
51.489324     2.85827     0.25668 
51.631509     2.56410     0.22934 
51.773768     2.83943     0.25499 
51.915026     2.56387     0.23024 
52.051203     3.08024     0.27551 
52.172837     3.17375     0.28501 
52.298481     2.85656     0.25653 
52.432541     2.78956     0.24951 
52.569156     2.73598     0.24570 
52.707595     2.68093     0.24076 
52.842683     2.88462     0.25801 
52.972844     2.87004     0.25774 
53.100332     2.96931     0.26665 
53.230047     2.78364     0.24898 
53.372526     2.45375     0.22035 
53.514243     2.77822     0.24949 
53.652496     2.57920     0.23069 
53.775825     3.56680     0.32031 
53.895186     2.69580     0.24209 
54.026969     2.88282     0.25785 
54.167769     2.36783     0.21264 
54.315941     2.55023     0.22902 
54.452887     2.78003     0.24865 
54.593133     2.42498     0.21777 
54.739673     2.50353     0.22482 
54.886948     2.40769     0.21535 
55.031537     2.58679     0.23230 
55.164312     2.81880     0.25314 
55.304057     2.35773     0.21088 
55.458971     2.26291     0.20322 
55.598359     2.92093     0.26231 
55.734351     2.37238     0.21219 
55.888693     2.23177     0.20042 
56.035578     2.59825     0.23333 
56.170396     2.64143     0.23626 
56.298418     2.87433     0.25812 
56.416963     3.03830     0.27285 
56.550088     2.32801     0.20822 
56.691546     2.64126     0.23719 
56.823045     2.64718     0.23772 
56.968242     2.19366     0.19621 
57.113311     2.63889     0.23698 
57.241233     2.76037     0.24789 
57.376014     2.39691     0.21439 
57.510530     2.75910     0.24777 
57.637226     2.65392     0.23833 
57.782333     2.13591     0.19104 
57.929923     2.54262     0.22833 
58.070565     2.30721     0.20719 
58.206879     2.72710     0.24392 
58.333304     2.65309     0.23825 
58.453517     2.99023     0.26853 
58.578565     2.47559     0.22142 
58.707032     2.80732     0.25211 
58.841288     2.25451     0.20246 
58.975893     2.80075     0.25051 
59.091879     2.99450     0.26891 
59.212161     2.58303     0.23196 
59.341411     2.58948     0.23161 
59.469157     2.63328     0.23648 
59.603074     2.33488     0.20968 
59.743636     2.39024     0.21379 
59.876012     2.62765     0.23597 
60.000699     2.65387     0.23832 
60.119831     2.87128     0.25785
