Rproj           dRproj          PM_R            dPM_R            PM_T            dPM_T            PM_total        dPM_total
[arcsec]        [arcsec]        [mas/yr]        [mas/yr]         [mas/yr]        [mas/yr]         [mas/yr]        [mas/yr]
8.3435716       3.05489300623   0.458141310725  0.0672796232555  0.695811688608  0.0930558543523  1.51877089518   0.301664561296 
13.4799392      1.15238935842   0.552685656464  0.0831413752961  0.716669959563  0.0990723127752  1.29670446696   0.264921204325 
16.4572836      0.691855290718  0.490556418753  0.0737055339021  0.72631787491   0.114965140121   1.4806000842    0.323126573693 
18.8240724      0.640773339004  0.584678258129  0.077424526272   0.432358902902  0.0617819289719  0.739481752384  0.144065561172 
24.3921290253   2.05436412342   0.517988316753  0.0200571985215  0.572640475329  0.0220821481228  1.10550847733   0.060413460723 
30.0204153623   1.56073729137   0.586077726491  0.0237105628985  0.588814139111  0.0244518726305  1.00466902681   0.0582468434024 
35.1191037545   1.25936555123   0.523270574029  0.0237048327019  0.55425761029   0.0252268309632  1.05921799887   0.0680195185065 
39.5686703261   1.27965090293   0.551058624472  0.0220817401967  0.549327445773  0.0256665499739  0.996858449134  0.0613600030786 
43.8520318773   1.2075449633    0.521734121024  0.0240248405616  0.577799750283  0.0233319317135  1.10746015451   0.0678270335208 
47.7747327899   1.07289598075   0.567695357725  0.0236874471653  0.597657215218  0.0283338048515  1.0527780562    0.0664882323208 
51.5877833213   1.18570156401   0.517588491469  0.0241307814046  0.53395744568   0.0213012863616  1.03162542151   0.0633004489549 
55.5810212681   1.05382848308   0.528410367886  0.0231217115735  0.557958344831  0.0224970411652  1.05591861693   0.0628285815291 
59.3062781949   1.14563787142   0.556111958646  0.0275454631903  0.534546289586  0.023721102986   0.961220634219  0.0639243054005 
63.2552775      1.12053380038   0.505459062925  0.0215659300957  0.538694232225  0.021938350097   1.06575244513   0.0628606021766 
67.203553935    1.15391879378   0.573652493473  0.0229241026777  0.527362479873  0.0235997132818  0.919306524199  0.0551548477449 
70.9623123913   1.11403613071   0.577861896444  0.0227348566062  0.520612064101  0.0212688916222  0.900928175581  0.0510985579735 
75.0212337906   1.26429293133   0.563146633172  0.0234016045462  0.535220068323  0.0251201036448  0.950409781035  0.0595781873256 
79.2045519565   1.25738365694   0.490709091358  0.0195515081846  0.548170105965  0.0250595684525  1.11709792139   0.0677421240007 
83.7312641516   1.29845899062   0.551903072977  0.0258484344995  0.508995199203  0.0193768254193  0.922254693125  0.0556629285005 
88.5653480072   1.39733164699   0.550334223288  0.0240821869501  0.486290756338  0.0194863736021  0.883628049575  0.0524296709847 
93.8598733213   1.55012640853   0.496774120728  0.0183610876571  0.509673622477  0.0199107750796  1.0259665333    0.0551758311333 
99.5995390217   2.00244001942   0.516113105286  0.0202846341042  0.493770779071  0.0215750139468  0.956710407107  0.0562257773297 
107.448192996   2.59449698181   0.530552111707  0.02220883566    0.484041774634  0.020264608925   0.912335968425  0.0540127587116 
120.918332527   6.73750536922   0.491210234177  0.020746784588   0.444165907417  0.0206134657202  0.904227714557  0.0567413917213 
