R              e_R            sigma           e_sigma          Ratio          e_Ratio
[arcsec]       [arcsec]       [mas/yr]        [mas/yr]
7.9448724      3.17625751789  0.596570155403  0.060043543468   1.45774096823  0.294274145068
13.4638534091   1.32313457314  0.593308079472  0.0474207772254  1.15431102044  0.165160293189
16.8405272093   0.790376886197 0.579311340012  0.0464362010012  1.38604800493  0.201590687684
19.018825       0.585031805334 0.567815219828  0.0428998212759  0.774108682598 0.115932611636
25.7463153972   2.6269313612   0.558813735511  0.00866840891297 1.03525606243  0.0370871611698
32.9276557702   1.76425062067  0.579085934081  0.0105845472928  0.9839142438   0.03255433171
38.1880292803   1.39726307355  0.564803630957  0.0112211065201  0.957082442289 0.0371097168696
42.9875315657   1.37601652869  0.552854392687  0.0103880647382  1.00418668508  0.0368877108091
47.4230862879   1.20094589146  0.56183941832   0.00942735348981 0.994042219896 0.0362201372409
51.6381037626   1.24170957908  0.537089759795  0.00920148200936 0.956360072187 0.0363828325155
55.7105351894   1.13234139553  0.563009392588  0.00992372070289 0.93220938834  0.032707673588
59.7351697096   1.2069757866   0.556091731517  0.00939972226174 0.969295330035 0.0342866101002
63.6876019823   1.0871602259   0.543688094939  0.0091293390051  0.985952229962 0.0319811499343
67.6040973232   1.15699091736  0.547569467518  0.00897658034315 0.979557408213 0.0327951137539
71.4670255359   1.10371103142  0.541253616187  0.0102566993783  0.947994541521 0.0318970328979
75.5552706187   1.2015843888   0.541427070915  0.00911823295329 0.984068223239 0.0320628886265
79.6872317929   1.24151179874  0.531677141083  0.0109303644718  0.970189824085 0.035226175293
84.0804068813   1.30199490431  0.530370159861  0.00927434636328 0.951181620794 0.0332481279509
88.5073355303   1.2642669675   0.525704044617  0.0088165503658  0.934448828813 0.0349248755223
93.0767817803   1.36853408403  0.513928212997  0.00828092123835 0.95736256405  0.0355312508892
97.8805144823   1.52406781284  0.509084797508  0.00876111935738 0.974120606794 0.0369031728323
103.522581288    1.70721738403  0.494804348828  0.00877695204687 0.975391599669 0.034655357985
110.449465038    2.4784585369   0.500135001503  0.00733245179527 0.960812350445 0.0343068930732
123.347077743    6.23949542141  0.493177595882  0.00942712156134 0.928874959763 0.0310612984445
